,gene_0,gene_1,gene_2,gene_3,gene_4,gene_5,gene_6,gene_7,gene_8,gene_9,gene_10,gene_11,gene_12,gene_13,gene_14,gene_15,gene_16,gene_17,gene_18,gene_19,gene_20,gene_21,gene_22,gene_23,gene_24,gene_25,gene_26,gene_27,gene_28,gene_29,gene_30,gene_31,gene_32,gene_33,gene_34,gene_35,gene_36,gene_37,gene_38,gene_39,gene_40,gene_41,gene_42,gene_43,gene_44,gene_45,gene_46,gene_47,gene_48,gene_49,gene_50,gene_51,gene_52,gene_53,gene_54,gene_55,gene_56,gene_57,gene_58,gene_59,gene_60,gene_61,gene_62,gene_63,gene_64,gene_65,gene_66,gene_67,gene_68,gene_69,gene_70,gene_71,gene_72,gene_73,gene_74,gene_75,gene_76,gene_77,gene_78,gene_79,gene_80,gene_81,gene_82,gene_83,gene_84,gene_85,gene_86,gene_87,gene_88,gene_89,gene_90,gene_91,gene_92,gene_93,gene_94,gene_95,gene_96,gene_97,gene_98,gene_99,gene_100,gene_101,gene_102,gene_103,gene_104,gene_105,gene_106,gene_107,gene_108,gene_109,gene_110,gene_111,gene_112,gene_113,gene_114,gene_115,gene_116,gene_117,gene_118,gene_119,gene_120,gene_121,gene_122,gene_123,gene_124,gene_125
sample_0,0,2.01720929,3.265526912,5.478486512,10.43199896,0,7.175175262,0.59187087,0,0,0.59187087,1.334282225,2.015390519,0.59187087,0,0,0,0,0.59187087,5.619993963,1.334282225,0,9.796088293,0,0,1.598651048,7.215115541,10.83906991,6.620203694,9.513538119,0,4.063658248,7.764805258,4.747655933,13.71439579,10.03449636,0,0,9.833457805,0,10.86126529,0,0,0.59187087,1.010278567,6.962849746,10.95970496,9.769508944,12.24540415,0.59187087,8.968828044,10.17530004,12.39906426,8.479877249,7.355765124,8.331051284,10.64345939,6.821225494,10.63749433,3.340391357,6.792269724,1.010278567,0,1.598651048,7.99196394,10.42775281,10.73430317,3.47807874,8.538115195,3.926037384,8.234750383,7.377930613,4.511449063,8.727811568,0,7.377930613,5.574655586,3.188163516,10.6857825,8.434069388,10.8254279,6.426764579,8.691108384,10.79651015,4.267356012,0,10.18789638,0.59187087,7.408397681,13.23018109,9.719181729,4.228857162,3.826406117,5.997457265,4.445819385,6.590142384,8.647983601,2.338338835,9.713963821,9.742430708,9.067587631,11.169925,10.07100642,11.16099958,9.822994575,8.653447016,2.824951106,1.010278567,1.010278567,10.70304704,11.40662489,1.822036672,11.94084946,8.234750383,9.416594882,12.07577996,7.282467606,6.814729852,12.48069681,7.778629126,9.577938591,8.867513506,7.463328186,8.957096236,9.764286103,9.693784875
sample_1,0,0.592732095,1.58842082,7.586156738,9.623010856,0,6.816049248,0,0,0,0,0.587845009,2.466601019,1.004393523,0,0,0,0,0,11.05520786,3.562620987,0,10.07046983,0,0,0,9.949812123,8.522475606,1.174789893,4.926990931,0,0,5.819831652,1.32716997,13.28624008,6.663316152,0.587845009,0,9.533302475,0.811142174,9.728151812,0,0.323658291,0,2.651223943,6.698690778,9.830935041,8.818521465,11.50562302,0.323658291,9.314757694,8.951270142,12.3560475,10.33744351,8.010147626,8.192376661,11.12510992,6.090792047,6.803110769,0.587845009,6.340834618,3.499845887,3.866146382,0.323658291,9.926494667,9.334065415,10.21149898,8.605872085,6.266046267,4.666637309,9.107447261,4.312113313,4.516185385,8.759458805,0.587845009,6.361812215,1.813606775,0.323658291,9.698157693,9.14446706,10.37700442,8.771882278,9.183682519,2.176737647,0.587845009,0.323658291,11.34653035,4.92734657,11.80155883,8.885272348,9.795849725,3.137060811,5.321437495,7.716092359,0.811142174,7.263748063,8.518523337,4.951004892,9.139328792,9.298777436,11.46306963,11.41457426,11.81672769,10.59090512,9.256685183,8.244758649,1.174789893,0,0,9.547434405,10.94043106,2.328951324,9.986396713,7.765289414,7.437077894,10.46204209,8.628051776,0.811142174,12.1622434,8.68294544,10.65172443,9.122499308,7.066702744,7.746823317,10.61586869,9.219429925
sample_2,0,3.511758978,4.327198719,6.881786959,9.870729971,0,6.972129709,0.452595435,0,0,0,0.452595435,1.98112199,1.074162876,0,0,0,0,1.683022665,8.210247604,4.195284597,3.660426675,8.970919784,0,0,0.796597754,6.096649804,9.861615797,7.680507214,3.119439184,0,0.452595435,7.899526109,0,10.73109837,6.967883321,0.452595435,0,9.646322892,0.452595435,10.05342363,0,0,0,0,7.592344906,9.971069283,9.28653697,11.92599571,0,8.901069013,8.905907425,11.85945325,9.487277313,8.683464875,10.08411743,10.37418095,6.033123418,10.90143261,3.634976542,7.29083906,1.683022665,0.452595435,1.3068455,7.544400377,11.38799037,10.16320938,2.533663013,8.082713232,1.683022665,4.947105052,1.683022665,1.3068455,10.00612968,0.452595435,2.533663013,3.403376807,0,10.92418156,7.860553165,8.392149957,5.811560939,8.500339985,2.785738854,0,0,10.71759932,5.199432857,4.359675777,13.8920874,9.486537404,0.452595435,0.796597754,3.352235919,3.186960042,3.834488748,7.471740236,2.622672704,9.844948939,8.588605961,11.52038787,11.37062747,10.08508734,10.58993198,7.603322197,2.438798505,1.074162876,1.507160349,0,8.922438714,11.64231348,0.452595435,10.37698272,8.698895625,8.70041891,10.02819616,7.981173377,6.634996865,13.10881845,10.31322317,8.539441893,9.637671825,7.241697203,7.921025658,10.30473918,10.15437511
sample_3,0,3.663617874,4.507648778,6.659068275,10.19618407,0,7.843374639,0.434881719,0,0,0,0.434881719,2.874246139,0,0,0,0,0,1.267356012,8.30631693,3.573556306,0,8.52461615,0,0,0,3.913760676,9.5115728,6.469164774,7.02989455,0,1.267356012,6.800641097,7.742713637,12.65947418,8.299890275,0.768586635,0,9.670730595,0.434881719,10.26461853,0,0,0.434881719,1.931418318,8.890291641,10.63930453,11.48445538,12.10770748,0,9.09051473,8.846863094,12.35569796,9.506696347,8.409925483,8.101676336,9.473527177,3.979586391,10.14465824,2.478531813,6.837009728,1.637239266,0,1.464093165,8.107190916,10.49940743,11.05020918,1.464093165,8.323842903,2.384464315,8.769890725,4.949632977,2.058697469,9.297597255,3.184470737,6.892998093,4.847566037,0,10.2654158,8.721417094,10.38108866,7.243735716,8.462665857,9.634792903,6.239923069,0,10.58813369,3.006441658,5.983376722,14.98296239,10.54461675,3.696093997,4.618820081,5.272079193,6.149873096,5.866457993,8.173747083,2.175652338,10.14107254,8.617996326,10.58251837,11.08777442,10.44146066,10.65292562,10.58218904,5.28515435,0.768586635,1.039419183,0,9.919493533,10.84091951,0,10.78333387,8.844655556,8.145351386,11.3043285,7.672305112,5.491009675,13.22011377,8.164932061,10.1664644,9.376837334,6.463424648,7.696974479,10.34330788,10.16249204
sample_4,0,2.655741075,2.821546959,6.539453525,9.738264562,0,6.566967329,0.360982241,0,0,0,1.275841423,2.141203877,0,0,0,0,0,0.889707158,10.14915011,2.967629753,0,8.04723845,0,1.435948565,0,1.942120349,8.821534841,5.861429389,7.755708803,0,0.649385529,5.570241288,2.612800691,13.55673355,8.004754179,0,0,9.587569393,0.649385529,9.860650929,0,0,0,0,4.443069519,10.3912973,10.05012073,11.21834527,0.889707158,9.059950076,9.144999759,10.93406677,9.881670737,8.169078171,7.295227105,10.37933504,6.703086853,9.346174627,2.801096559,7.185202515,8.930616122,1.71114245,4.104630202,9.853569997,10.55427227,11.87507353,4.778071871,6.558289066,5.145555188,7.694169811,5.133921032,4.056149961,9.43891034,1.831269236,4.304657056,4.104630202,2.396186896,8.063195517,8.039461955,9.519909435,7.204600487,8.307551477,10.33716472,3.81521676,8.254820769,10.28683495,3.252203696,8.704508894,6.477750173,11.06483706,2.544139137,4.104630202,7.078705892,7.084755249,8.115371439,8.324279574,1.580097233,10.45345585,8.658564971,10.80384859,10.77371617,10.36386098,10.8403216,10.25228697,5.340345065,1.71114245,1.71114245,0,9.117206721,10.33303232,0.649385529,10.19850643,9.142099397,8.604831178,10.90227712,7.835532534,5.399837588,13.02053554,9.577406168,10.0121077,10.15347603,7.231153965,8.143199517,10.61389074,10.27992392
sample_5,0,3.467853314,3.581917608,6.62024329,9.706829241,0,7.758509726,0,0,0,0.515409693,0.515409693,2.516796815,0,0,0,0,0.894293934,0.894293934,6.842765176,2.809661389,4.002900506,7.663935184,0,0,1.194150106,0.894293934,9.628387211,7.220446047,7.012758607,4.936703889,1.442280035,8.002235571,2.002018361,14.0211535,9.126059116,0,0,9.962887332,0.515409693,11.13435572,0,0,1.442280035,0,8.118645238,10.32782207,10.13802856,11.9405265,0.894293934,9.461763866,10.27330607,12.09958451,9.703118008,8.100704384,8.610533976,10.39514851,8.292850754,10.31814734,4.114033801,7.121295207,0.515409693,0.515409693,1.838427422,8.938053441,11.15948665,10.1818728,1.194150106,7.968453685,6.793349698,7.831034832,9.709790336,8.337425664,7.865968289,0.894293934,8.184002521,4.314130936,3.324335386,10.41701914,9.617388487,9.156770753,7.349082146,7.884439187,6.931706692,0,0,11.58851321,3.125750275,4.461993405,14.71140349,9.900092434,1.653885489,3.052989658,4.517137087,4.956790827,8.118645238,9.111573891,4.217548695,9.591125855,9.584686333,10.76304634,11.00137301,10.63995565,10.2837829,10.54488718,7.79243893,3.195032565,2.148934105,0,10.32057493,10.0595067,0.894293934,9.9727788,8.720350297,9.614063799,11.65859532,8.196725061,6.842765176,14.9930976,7.778399153,9.607892485,8.634110402,8.087102122,8.637226222,10.14081699,10.88728917
sample_6,0,1.224966365,1.691176797,6.572007415,9.640510671,0,6.754887502,0.531867996,0,0,3.173926932,1.476796419,3.023840829,0,0,0,0,0,9.466877906,7.424199888,1.224966365,0,9.973639973,0,0,0,0,9.508977245,4.485420387,8.633176885,0,0,5.89940043,0,15.59775288,10.90946561,1.476796419,0,9.145458385,2.191152018,8.634244749,0,0,1.224966365,0,6.336351236,8.32289708,9.931445208,10.92774093,1.87774425,8.637349411,9.580448904,11.2274896,9.61366793,6.436288456,8.926325649,10.2135417,6.926924535,5.803157277,4.128936729,6.291564882,2.042924445,5.124460486,3.932306893,8.921028635,10.22648445,9.868848785,8.159296162,8.334898951,3.602385613,6.687830555,5.264904189,4.723143495,8.692929286,0,6.360035875,4.698585218,0,9.119177178,7.846474511,8.653540167,7.515400231,8.427480468,1.224966365,0,0,10.15324801,3.243486296,10.92277764,7.227933566,9.009800631,0.919683313,1.691176797,2.764643395,0.919683313,10.51898748,9.470508395,3.309845564,9.764009032,9.410338984,9.860570236,9.775062068,9.658927296,9.764748874,8.486058673,7.99253053,5.29798006,1.87774425,0,9.884584185,10.37044766,1.476796419,11.45278176,8.850324379,10.22701419,11.70555895,7.401545142,4.268965799,9.657334529,6.896574599,10.43459696,8.433076288,7.282652932,8.843340089,10.00868072,10.35136994
sample_7,0,2.854853427,1.750477878,7.226720449,9.758691265,0,5.952102884,0,0,0,0.441802155,0,2.40585625,0,0.779553903,0,0,0,0,7.373430712,2.304861451,0,8.922007507,0,0,0,5.145526657,9.406279424,4.664710377,5.705192774,0,6.45462502,7.012713919,5.145526657,16.79858571,10.11391143,1.053041807,0,9.349566532,0,9.276433853,0,0,1.481040556,0,6.822041772,9.641910847,10.71913209,11.50074729,1.053041807,8.421231716,9.659913858,11.6172149,9.582471326,7.443407737,8.995753021,10.02195159,6.551654436,9.212523135,3.940476873,7.19175016,0.441802155,0.441802155,1.9509909,8.983549447,10.66603755,9.81716115,2.078848898,8.818118779,6.756623035,7.543781981,9.174561219,6.279378431,8.326236216,3.150965784,9.285573298,5.935306512,1.053041807,9.644696315,8.412201452,9.662467221,6.542200774,8.620919922,5.716837291,1.810689873,0,10.49391548,1.9509909,5.202789906,12.75962192,8.471654895,3.796867663,4.684947744,7.293315301,5.387004028,9.423695814,9.394805642,4.213844945,10.17778079,8.616975157,10.15166351,10.65068379,10.28276412,9.967226259,9.607204535,9.587183067,2.964879142,0.779553903,0,9.782950719,10.20824655,1.282854909,11.38026624,8.917739047,8.608032994,10.77388921,7.72572071,5.297833368,12.82747172,7.348276688,10.15484342,8.958831078,7.988434749,8.861058983,10.03530774,10.58759002
sample_8,0,3.992124874,2.772730248,6.546692314,10.48825189,0,7.690221519,0.352306553,0,4.067604301,1.411317768,1.252839491,2.579976597,0,0,0,0,0,0.635336495,10.1476247,4.287908111,4.773827579,8.34397626,0,0,0,6.080374127,7.600537379,2.824930745,4.934233407,0,0,5.244616909,9.464329279,13.53100368,5.944411047,0,0,8.54219613,2.110864324,9.298044233,0,0,0,0.352306553,7.893550302,9.796883233,10.61859657,10.59917829,0,10.05629901,7.732119929,11.45812461,9.555191128,8.437881046,7.916858765,9.727495069,5.561365854,7.404843531,2.364404342,7.251633892,6.919518859,4.091217445,2.70763522,10.69253704,9.604725564,9.515936326,9.944725236,7.334881078,6.624228134,6.59562748,4.091217445,5.517694581,10.20825875,0,4.22527493,4.287908111,3.778713221,9.642990313,9.912787566,9.298044233,7.257887513,10.29118221,0.352306553,0,0.352306553,10.63700518,4.347934896,8.980962108,8.571866386,9.597017111,0.635336495,1.803061675,2.767464121,0,8.647458426,8.003388605,2.880176134,11.03904241,8.255330772,11.16518337,11.23886447,11.27377812,9.725609953,7.90358665,5.735581747,2.015390519,1.252839491,0.871764811,8.988838036,9.078673873,3.835722002,9.759616924,8.724012404,5.743051732,8.807438647,7.535345371,2.511619841,11.5609012,8.629433125,9.262097195,9.698487639,6.434247906,7.366663175,11.72715467,10.11200937
sample_9,0,3.642493642,4.423558003,6.849511442,9.464466109,0,7.947216121,0.724213687,0,0,0,1.204140717,2.296310561,0,0,0,0,0,0,7.856780323,1.204140717,5.784391432,6.020050983,0,0,0,0.724213687,9.871312333,6.118104275,6.284210579,0,5.07038074,5.907183914,0,12.57864394,8.285411467,0,0,9.292130641,2.779890039,9.394910654,0,0,0.724213687,0,10.68072872,9.426694563,10.33242823,11.54360704,0,9.539657075,9.052766374,10.87655532,9.537164031,8.198430307,8.774253361,9.808711641,6.82200352,10.81784706,3.030689204,7.457315207,4.057268299,0.724213687,0.724213687,9.208680635,10.94781955,11.37677115,0.724213687,7.992241597,4.953819299,4.983850954,8.605812837,7.28701972,8.198430307,0,6.131583311,3.811460755,0.724213687,9.637119329,8.395654087,9.429425573,5.703850985,8.239469648,8.162768948,0,0,12.2375207,1.204140717,2.779890039,13.23278515,9.721153887,0,2.779890039,5.349499745,4.361761342,7.467923397,8.521294203,3.430285273,9.538429523,9.84393832,9.875323928,11.26692706,10.06552384,10.60182649,8.356011722,6.465445597,1.204140717,1.204140717,0,9.539693905,10.1121658,0.724213687,10.62583667,9.031353839,7.268780578,9.324767858,7.545497378,1.563646269,13.42890972,8.132921231,10.90381408,8.566655353,6.718635616,7.81978951,10.04338279,10.93586486
